wrm0_11.gif	-1.43541	-1.12731	-1.18099	-1.31379	-1.05806	-0.54191	-1.00750	-1.28229	
wrm0_19.gif	-1.15122	-0.96616	-1.05135	-1.14095	-0.99547	-0.78620	-1.08609	-1.15314	
wrm0_8.gif	-1.17276	-1.38700	-1.26481	-1.23763	-0.91951	-1.00293	-0.87638	-1.08446	
wrm0_9.gif	-1.16984	-1.27428	-1.05433	-1.03146	-1.04176	-0.77652	-1.05491	-1.10884	
wrm0_airplaneGray.bmp	-1.28674	-1.33201	-1.25496	-1.19357	-1.17301	-0.51058	-1.19882	-1.20438	
wrm0_baboon.BMP	-1.22996	-1.36046	-1.27868	-1.19629	-1.24292	-0.50612	-1.11862	-1.26665	
wrm0_bank.BMP	-1.06153	-1.34042	-1.17434	-0.93693	-1.22913	-0.86292	-1.13355	-1.14585	
wrm0_barbara.png	-1.35478	-0.92560	-1.17759	-1.18395	-1.05923	-0.77671	-1.05790	-1.13807	
wrm0_boat.BMP	-1.34167	-1.24520	-1.35900	-1.26019	-1.18818	-0.63032	-1.15006	-1.14747	
wrm0_boat.png	-1.34423	-1.19733	-1.28712	-1.23733	-1.24810	-0.65156	-1.16878	-1.18718	
wrm0_brain.BMP	-0.87601	-1.29753	-1.13360	-1.02107	-1.12708	-1.08478	-0.90424	-1.01922	
wrm0_bridge.tiff	-1.25800	-1.27200	-1.30833	-1.14099	-1.08475	-0.69660	-1.09505	-1.05695	
wrm0_cman.BMP	-1.18327	-1.24347	-1.26655	-1.22801	-1.34169	-0.47563	-1.26077	-1.24574	
wrm0_couple.bmp	-1.27250	-1.31680	-1.24052	-1.17588	-1.15489	-0.74614	-1.17385	-1.22396	
wrm0_crowd.BMP	-0.96132	-1.21023	-1.18852	-1.09143	-1.03661	-0.63815	-1.29503	-1.11120	
wrm0_face.BMP	-1.20441	-1.11614	-1.09502	-1.20828	-1.25916	-0.60246	-1.21807	-1.25240	
wrm0_Fig0222(c)(crowd).tif	-1.42588	-1.16110	-1.25254	-1.22311	-1.17082	-0.59458	-1.01734	-0.99482	
wrm0_fingerprint.png	-1.29484	-1.27460	-1.22003	-1.28938	-1.29283	-0.53633	-1.09558	-1.14661	
wrm0_flinstones.png	-1.23180	-1.01846	-1.25037	-1.16420	-1.26889	-0.46642	-0.98894	-1.22500	
wrm0_flowr.BMP	-0.92174	-1.18024	-0.91671	-0.86156	-0.99890	-0.51365	-0.72349	-0.94013	
wrm0_girl512.BMP	-1.03620	-1.20181	-1.06607	-1.24590	-1.27588	-0.60226	-1.09441	-0.96205	
wrm0_hat.BMP	-1.37890	-1.18151	-1.25631	-1.24226	-1.21152	-0.58784	-0.98180	-1.28083	
wrm0_house.png	-1.11689	-1.12186	-1.24242	-1.14408	-1.04003	-0.60647	-1.10716	-1.23336	
wrm0_lake.tiff	-1.18428	-1.33810	-1.21863	-1.12143	-1.24952	-0.64200	-1.25629	-1.11607	
wrm0_lax.tiff	-1.20761	-1.16356	-1.20923	-1.13311	-1.23711	-0.73687	-1.09252	-1.14280	
wrm0_lena512.bmp	-1.13433	-1.15222	-1.18386	-1.23268	-1.17501	-0.69501	-1.25921	-1.28736	
wrm0_loco.BMP	-1.25107	-0.89438	-1.11789	-0.97806	-1.01569	-0.27047	-0.95929	-0.90589	
wrm0_man.tiff	-1.26848	-1.30285	-1.24589	-1.17488	-1.28047	-0.61479	-1.18814	-1.09409	
wrm0_martha.BMP	-1.12502	-1.14302	-1.29771	-1.28334	-1.33852	-0.56922	-1.21312	-1.10781	
wrm0_milkdrop.tiff	-1.23346	-1.37437	-1.23810	-1.23872	-1.13075	-0.75428	-0.97786	-1.29329	
wrm0_more_data_0.jpg	-0.33546	-0.37474	-0.49880	-0.36567	-0.34302	-0.09414	-0.52541	-0.55946	
wrm0_more_data_1.jpg	-0.56411	-0.43748	-0.53810	-0.45075	-0.33081	-0.11982	-0.38824	-0.35334	
wrm0_more_data_100.jpg	-0.43106	-0.57305	-0.72376	-0.57786	-0.70265	-0.20755	-0.35509	-0.59433	
wrm0_more_data_2.jpg	-0.48094	-0.62485	-0.57537	-0.34278	-0.47512	-0.29713	-0.37597	-0.33027	
wrm0_more_data_98.jpg	-0.63772	-0.46078	-0.48888	-0.50940	-0.50634	0.05644	-0.33452	-0.45603	
wrm0_more_data_99.jpg	-0.27208	-0.35773	-0.40513	-0.55741	-0.57164	-0.05746	-0.34728	-0.32223	
wrm0_peppers.bmp	-1.24501	-1.13771	-1.23288	-1.19897	-1.27226	-0.85012	-1.17553	-1.29727	
wrm0_reagan.BMP	-1.33157	-1.23773	-1.18701	-1.28421	-1.31384	-0.62974	-1.06700	-1.26711	
wrm0_woman1.tiff	-1.30863	-1.28512	-1.20190	-1.21902	-1.21391	-0.63124	-1.15497	-1.11292	
wrm0_woman2.tiff	-1.16656	-1.22405	-1.34356	-1.29833	-1.23666	-0.65177	-1.25291	-1.12386	
wr_lena512.bmp	-1.14130	-1.14741	0.80980	-1.24108	-1.18259	-0.68485	0.73464	-1.28080	
