data\11.gif	0.36351	0.21894	0.36015	-0.38025	0.14856	0.26566	0.37151	-0.41699	0.33232	0.35307	0.25609	0.22230	0.97092	
data\19.gif	0.40188	0.23191	0.35087	-0.34021	0.19850	0.33513	0.34891	-0.33543	0.40038	0.38010	0.24458	0.20973	0.99416	
data\8.gif	0.41030	0.23650	0.34981	-0.33069	0.20522	0.34548	0.32416	-0.32409	0.42246	0.36880	0.24498	0.21381	0.99381	
data\9.gif	0.41477	0.22093	0.34100	-0.31321	0.21887	0.35197	0.34943	-0.32896	0.40522	0.37612	0.24378	0.21363	0.99423	
data\airplaneGray.bmp	0.40104	0.20175	0.35488	-0.35209	0.21216	0.33230	0.33596	-0.32875	0.39700	0.34852	0.29137	0.20764	0.99043	
data\baboon.BMP	0.39807	0.20529	0.34426	-0.35950	0.23828	0.30895	0.35635	-0.31153	0.36586	0.38219	0.25948	0.18676	0.97808	
data\bank.BMP	0.41215	0.21396	0.34580	-0.32934	0.22299	0.34185	0.32863	-0.35260	0.37858	0.32618	0.26662	0.23698	0.98838	
data\bank1.BMP	0.38538	0.16777	0.32050	-0.32146	0.13293	0.38834	0.25866	-0.34141	0.40040	0.25110	0.31467	0.25829	0.93186	
data\barbara.png	0.39748	0.21857	0.36661	-0.35504	0.19316	0.34752	0.33836	-0.34282	0.39633	0.35270	0.26750	0.21117	0.99669	
data\boat.BMP	0.41138	0.21784	0.37551	-0.34396	0.19841	0.34921	0.33688	-0.33461	0.40518	0.36146	0.25603	0.20519	0.99890	
data\boat.png	0.41935	0.21642	0.37090	-0.33538	0.20315	0.35170	0.33132	-0.32051	0.40546	0.37124	0.25104	0.20935	0.99631	
data\brain.BMP	0.40920	0.21129	0.37384	-0.35055	0.20206	0.34607	0.33754	-0.34227	0.39175	0.35038	0.26312	0.21885	0.99923	
data\brain1.BMP	0.40944	0.22971	0.38209	-0.31305	0.19487	0.35727	0.32187	-0.37022	0.38162	0.37414	0.23886	0.18157	0.98813	
data\bridge.tiff	0.38664	0.20734	0.38247	-0.35241	0.17336	0.29669	0.38764	-0.34127	0.34692	0.39137	0.25077	0.19418	0.97664	
data\cman.BMP	0.40520	0.21854	0.37260	-0.35047	0.17658	0.31182	0.35197	-0.34497	0.36954	0.36798	0.27179	0.22709	0.99177	
data\cman1.BMP	0.40945	0.24833	0.38668	-0.36008	0.15327	0.29562	0.36133	-0.33170	0.38252	0.32479	0.29265	0.20126	0.98628	
data\columbia.tiff	0.40659	0.21082	0.34954	-0.33986	0.22915	0.33007	0.33805	-0.34269	0.37944	0.34778	0.25611	0.20979	0.98422	
data\couple.bmp	0.40943	0.20791	0.34999	-0.34400	0.21087	0.35293	0.33460	-0.33619	0.40892	0.34528	0.25963	0.22628	0.99637	
data\crowd.BMP	0.39083	0.20069	0.38143	-0.36402	0.16592	0.31633	0.35544	-0.34882	0.38827	0.38193	0.26524	0.20328	0.99010	
data\face.BMP	0.40954	0.22321	0.38418	-0.34870	0.17119	0.32615	0.35065	-0.32937	0.37909	0.37157	0.26470	0.22578	0.99587	
data\face1.BMP	0.41073	0.21176	0.36963	-0.35228	0.18247	0.35524	0.35826	-0.33328	0.38842	0.36254	0.25633	0.19429	0.99353	
data\Fig0222(c)(crowd).tif	0.40430	0.23022	0.38738	-0.35534	0.17310	0.32093	0.34225	-0.34637	0.38925	0.36398	0.26510	0.20601	0.99590	
data\fingerprint.png	0.41110	0.23140	0.36515	-0.34789	0.19310	0.32723	0.34219	-0.34162	0.39194	0.36259	0.25290	0.22508	0.99799	
data\flinstones.png	0.40774	0.21019	0.37321	-0.33346	0.21215	0.33939	0.32542	-0.33732	0.38847	0.35381	0.27627	0.21762	0.99348	
data\flowr.BMP	0.43183	0.20904	0.37301	-0.31606	0.17760	0.36945	0.34897	-0.29400	0.39671	0.38183	0.22594	0.19712	0.97940	
data\girl512.BMP	0.41000	0.22611	0.38627	-0.35423	0.17749	0.32874	0.34204	-0.34367	0.39708	0.36434	0.25953	0.20270	0.99799	
data\hat.BMP	0.39892	0.22111	0.37604	-0.35783	0.19537	0.31988	0.35315	-0.34753	0.39273	0.37044	0.25335	0.20476	0.99770	
data\house.png	0.39748	0.22241	0.39880	-0.35765	0.16622	0.31490	0.36307	-0.33914	0.37030	0.37481	0.25539	0.19933	0.98938	
data\lake.tiff	0.40693	0.21041	0.33376	-0.33055	0.22133	0.33917	0.34195	-0.33495	0.39067	0.34069	0.28567	0.22737	0.99043	
data\lax.tiff	0.39122	0.22739	0.34820	-0.35975	0.20995	0.33022	0.33281	-0.36411	0.39077	0.34323	0.25121	0.22889	0.99419	
data\lena256.bmp	0.38711	0.20594	0.35722	-0.32269	0.21137	0.33660	0.33449	-0.35385	0.38158	0.34852	0.28694	0.22650	0.98763	
data\lena512.bmp	0.40874	0.21259	0.36700	-0.35089	0.21655	0.32404	0.34648	-0.35279	0.38765	0.36062	0.25214	0.20879	0.99696	
data\loco.BMP	0.39634	0.23284	0.39472	-0.34114	0.15730	0.33066	0.34822	-0.33729	0.38258	0.38270	0.25009	0.20480	0.98917	
data\man.tiff	0.39950	0.21814	0.35916	-0.33528	0.21188	0.32429	0.36679	-0.34670	0.37054	0.36875	0.25751	0.22430	0.99553	
data\martha.BMP	0.42651	0.20095	0.34225	-0.29906	0.25428	0.38149	0.30357	-0.29506	0.41542	0.35706	0.23903	0.21422	0.98133	
