data\11.gif	-0.32488	-0.24364	-0.28742	-0.23006	-0.16404	-0.38067	-0.19979	-0.27720	-0.37487	-0.44621	-0.26471	-0.25643	0.97976	
data\19.gif	-0.32111	-0.25723	-0.32760	-0.21913	-0.13141	-0.35260	-0.24319	-0.22995	-0.34705	-0.46815	-0.30529	-0.29737	0.99400	
data\8.gif	-0.31705	-0.25575	-0.33300	-0.20968	-0.12657	-0.34654	-0.27198	-0.21876	-0.32930	-0.48526	-0.30854	-0.29664	0.99371	
data\9.gif	-0.31571	-0.27394	-0.34513	-0.19209	-0.11405	-0.34312	-0.24887	-0.22406	-0.35023	-0.48191	-0.31241	-0.29931	0.99421	
data\airplaneGray.bmp	-0.31814	-0.28469	-0.31979	-0.22970	-0.11603	-0.35148	-0.25323	-0.22173	-0.34640	-0.49476	-0.25485	-0.29626	0.99030	
data\baboon.BMP	-0.31177	-0.27511	-0.32184	-0.24015	-0.08522	-0.36641	-0.22492	-0.20701	-0.36828	-0.45034	-0.28004	-0.31115	0.97757	
data\bank.BMP	-0.30515	-0.27103	-0.32713	-0.20650	-0.10440	-0.34003	-0.25911	-0.24530	-0.36295	-0.51475	-0.27827	-0.26535	0.98829	
data\bank1.BMP	-0.28918	-0.28669	-0.31158	-0.20117	-0.17442	-0.25308	-0.29317	-0.23521	-0.29682	-0.53615	-0.19794	-0.21377	0.93411	
data\barbara.png	-0.32657	-0.26950	-0.31234	-0.22294	-0.13773	-0.33984	-0.25518	-0.22639	-0.35164	-0.49274	-0.28149	-0.29402	0.99693	
data\boat.BMP	-0.31623	-0.27409	-0.30698	-0.21938	-0.13377	-0.34244	-0.25927	-0.22567	-0.34690	-0.49140	-0.29673	-0.30447	0.99890	
data\boat.png	-0.31122	-0.27768	-0.31446	-0.21082	-0.13036	-0.34288	-0.26733	-0.21163	-0.34977	-0.48536	-0.30416	-0.30257	0.99632	
data\brain.BMP	-0.31651	-0.27865	-0.30675	-0.22319	-0.12941	-0.34329	-0.25707	-0.23052	-0.35806	-0.49885	-0.28763	-0.28867	0.99926	
data\brain1.BMP	-0.30438	-0.25392	-0.28748	-0.19621	-0.13085	-0.32195	-0.26333	-0.27046	-0.35722	-0.46490	-0.30511	-0.32089	0.98736	
data\bridge.tiff	-0.32382	-0.27015	-0.28486	-0.21586	-0.15088	-0.37505	-0.19791	-0.22014	-0.38480	-0.43795	-0.28667	-0.29944	0.97908	
data\cman.BMP	-0.31639	-0.26727	-0.30395	-0.21662	-0.15262	-0.37152	-0.23990	-0.22654	-0.37461	-0.47385	-0.27499	-0.27618	0.99240	
data\cman1.BMP	-0.30770	-0.23555	-0.28603	-0.22839	-0.17326	-0.38337	-0.22696	-0.21596	-0.35756	-0.51115	-0.25146	-0.29844	0.98711	
data\columbia.tiff	-0.30867	-0.27189	-0.32100	-0.21365	-0.09788	-0.34911	-0.24803	-0.23173	-0.35939	-0.48885	-0.28652	-0.29016	0.98457	
data\couple.bmp	-0.31293	-0.28202	-0.32841	-0.22635	-0.11834	-0.33450	-0.25727	-0.23409	-0.33803	-0.50444	-0.29026	-0.28095	0.99613	
data\crowd.BMP	-0.32786	-0.28122	-0.29353	-0.22230	-0.16148	-0.36340	-0.23550	-0.22295	-0.35358	-0.45552	-0.27866	-0.29564	0.99160	
data\face.BMP	-0.31831	-0.26755	-0.29850	-0.21723	-0.16081	-0.36424	-0.24601	-0.21377	-0.37224	-0.47886	-0.28706	-0.28246	0.99598	
data\face1.BMP	-0.31166	-0.27596	-0.30781	-0.22560	-0.14733	-0.33104	-0.23376	-0.22221	-0.35793	-0.48291	-0.29186	-0.31074	0.99364	
data\Fig0222(c)(crowd).tif	-0.31866	-0.25716	-0.29093	-0.22266	-0.15668	-0.36439	-0.25040	-0.22925	-0.35716	-0.47996	-0.28276	-0.29796	0.99624	
data\fingerprint.png	-0.31419	-0.25845	-0.31499	-0.22095	-0.13810	-0.36165	-0.25209	-0.23026	-0.35746	-0.48636	-0.29751	-0.28225	0.99803	
data\flinstones.png	-0.31582	-0.27965	-0.30556	-0.21203	-0.11789	-0.34888	-0.26752	-0.23162	-0.35979	-0.49550	-0.27365	-0.28979	0.99333	
data\flowr.BMP	-0.29087	-0.28216	-0.30591	-0.19952	-0.15304	-0.31876	-0.24331	-0.19257	-0.35189	-0.46904	-0.32634	-0.31236	0.97858	
