data\11.gif	0.18778	-0.32934	-0.21402	0.37750	0.32995	0.15827	-0.14287	-0.41590	-0.41500	0.23769	-0.24470	0.23295	0.97086	
data\19.gif	0.22825	-0.31329	-0.21976	0.41332	0.37985	0.22939	-0.16222	-0.33528	-0.34237	0.26647	-0.25334	0.22099	0.99408	
data\8.gif	0.23373	-0.30827	-0.22135	0.42236	0.38384	0.23708	-0.18766	-0.32087	-0.32056	0.25224	-0.25284	0.22305	0.99388	
data\9.gif	0.23224	-0.31804	-0.22660	0.43201	0.38893	0.23769	-0.16033	-0.31831	-0.33227	0.25328	-0.24974	0.21784	0.99489	
data\airplaneGray.bmp	0.23052	-0.34668	-0.21721	0.40475	0.39802	0.22951	-0.17633	-0.33257	-0.34849	0.23783	-0.20782	0.22153	0.99016	
data\baboon.BMP	0.22818	-0.33192	-0.21745	0.38245	0.41821	0.20560	-0.14656	-0.31236	-0.36571	0.27146	-0.23070	0.19842	0.97767	
data\bank.BMP	0.23285	-0.32072	-0.21698	0.41048	0.39317	0.23026	-0.17604	-0.34322	-0.35214	0.20706	-0.22339	0.24178	0.98922	
data\bank1.BMP	0.21810	-0.34247	-0.21548	0.38474	0.29952	0.28453	-0.22131	-0.33636	-0.29682	0.14109	-0.15307	0.26526	0.93328	
data\barbara.png	0.21950	-0.33566	-0.21393	0.41103	0.37628	0.23874	-0.18181	-0.34118	-0.35910	0.23569	-0.23879	0.22166	0.99669	
data\boat.BMP	0.23577	-0.33319	-0.20111	0.41754	0.38154	0.24226	-0.17978	-0.33427	-0.34546	0.24637	-0.24712	0.21644	0.99890	
data\boat.png	0.23900	-0.33054	-0.20399	0.42116	0.38017	0.24018	-0.18377	-0.31456	-0.34155	0.25138	-0.24935	0.21682	0.99643	
data\brain.BMP	0.23163	-0.33875	-0.20274	0.40991	0.38305	0.23727	-0.17910	-0.33969	-0.35826	0.23340	-0.23954	0.22864	0.99924	
data\brain1.BMP	0.23639	-0.30265	-0.17644	0.42280	0.36907	0.25083	-0.17846	-0.36634	-0.34444	0.25972	-0.24766	0.19046	0.98839	
data\bridge.tiff	0.21020	-0.34324	-0.19406	0.40855	0.35554	0.18889	-0.12887	-0.34002	-0.40349	0.27556	-0.25213	0.20482	0.97660	
data\cman.BMP	0.22633	-0.33441	-0.20717	0.41404	0.35830	0.20222	-0.16758	-0.34199	-0.38445	0.25000	-0.23361	0.23666	0.99178	
data\cman1.BMP	0.24936	-0.32189	-0.20179	0.42695	0.35807	0.20089	-0.16491	-0.35309	-0.39166	0.22339	-0.22365	0.22642	0.98745	
data\columbia.tiff	0.22766	-0.32662	-0.21585	0.40392	0.40115	0.21916	-0.16900	-0.33468	-0.35484	0.22863	-0.23604	0.21595	0.98491	
data\couple.bmp	0.23650	-0.33376	-0.21703	0.40456	0.39067	0.24753	-0.17339	-0.33556	-0.32902	0.23181	-0.23499	0.23722	0.99630	
data\crowd.BMP	0.21079	-0.35833	-0.20439	0.40879	0.35022	0.20614	-0.16948	-0.34659	-0.37386	0.26338	-0.24555	0.21352	0.99009	
data\face.BMP	0.23141	-0.33332	-0.19852	0.42050	0.35548	0.21739	-0.17144	-0.32826	-0.37936	0.25464	-0.24359	0.23672	0.99588	
data\face1.BMP	0.23652	-0.33926	-0.20638	0.40888	0.36653	0.24959	-0.15762	-0.33428	-0.36184	0.24875	-0.24653	0.20629	0.99348	
data\Fig0222(c)(crowd).tif	0.23031	-0.32928	-0.19618	0.41741	0.36224	0.21583	-0.18072	-0.35066	-0.37209	0.25129	-0.24508	0.22021	0.99608	
data\fingerprint.png	0.23450	-0.31912	-0.21146	0.41306	0.37513	0.21931	-0.17445	-0.34016	-0.35841	0.24653	-0.25000	0.23563	0.99799	
data\flinstones.png	0.23235	-0.33346	-0.19661	0.41810	0.39110	0.23197	-0.18513	-0.33489	-0.35277	0.23829	-0.22055	0.22738	0.99351	
data\flowr.BMP	0.25510	-0.32621	-0.18970	0.42416	0.35114	0.26002	-0.15542	-0.28846	-0.33433	0.26433	-0.26350	0.20455	0.98001	
data\girl512.BMP	0.23341	-0.33352	-0.19854	0.41893	0.36471	0.22151	-0.18201	-0.34517	-0.36489	0.24913	-0.25121	0.21520	0.99812	
data\hat.BMP	0.21949	-0.33696	-0.20862	0.41359	0.37957	0.21013	-0.17073	-0.34563	-0.36800	0.25241	-0.25649	0.21518	0.99770	
