data\11.gif	0.31091	0.30268	0.34061	0.43860	0.37678	0.34320	0.35960	0.23760	0.95624	
data\19.gif	0.35249	0.28935	0.37570	0.51084	0.40483	0.39591	0.31848	0.16147	0.99121	
data\8.gif	0.37241	0.29009	0.38297	0.47327	0.40183	0.39677	0.33271	0.15766	0.99072	
data\9.gif	0.35383	0.30575	0.36361	0.49217	0.41232	0.39903	0.33705	0.14606	0.99147	
data\airplaneGray.bmp	0.35782	0.29586	0.34023	0.47560	0.42566	0.36581	0.34514	0.18721	0.98565	
data\baboon.BMP	0.35688	0.28976	0.32001	0.49882	0.36406	0.39349	0.36587	0.15049	0.96661	
data\bank.BMP	0.34696	0.30382	0.36556	0.42940	0.44345	0.33820	0.36497	0.19084	0.98208	
data\bank1.BMP	0.30603	0.27826	0.34538	0.43348	0.41157	0.28832	0.25649	0.20586	0.89110	
data\barbara.png	0.34372	0.29360	0.34607	0.47545	0.40876	0.41300	0.35643	0.18287	0.99503	
data\boat.BMP	0.34861	0.29707	0.36442	0.48396	0.42343	0.39324	0.35019	0.16863	0.99843	
data\boat.png	0.36985	0.29502	0.36661	0.48658	0.40938	0.40782	0.34490	0.13954	0.99495	
data\brain.BMP	0.35671	0.30620	0.36360	0.46696	0.42991	0.37717	0.35962	0.17057	0.99885	
data\brain1.BMP	0.37867	0.29988	0.34132	0.46598	0.42847	0.35150	0.33902	0.17699	0.98159	
data\bridge.tiff	0.32873	0.30686	0.31639	0.48933	0.38000	0.40566	0.35463	0.16102	0.96775	
data\cman.BMP	0.36385	0.30167	0.34200	0.45266	0.41671	0.38677	0.36676	0.16865	0.98767	
data\cman1.BMP	0.37815	0.25903	0.31898	0.49472	0.42288	0.38903	0.30731	0.20606	0.97959	
data\columbia.tiff	0.34570	0.29072	0.33195	0.41933	0.42499	0.38548	0.38672	0.18086	0.97592	
data\couple.bmp	0.34743	0.30774	0.36896	0.46620	0.43492	0.36731	0.35663	0.16832	0.99419	
data\crowd.BMP	0.35145	0.31067	0.34792	0.47354	0.41294	0.37337	0.32984	0.19205	0.98510	
data\face.BMP	0.37198	0.29822	0.34816	0.46201	0.42288	0.38749	0.36183	0.16483	0.99414	
data\face1.BMP	0.35695	0.29696	0.37208	0.49416	0.41314	0.40126	0.32213	0.15140	0.99085	
data\Fig0222(c)(crowd).tif	0.35146	0.28779	0.35171	0.48495	0.42042	0.37961	0.34339	0.19747	0.99393	
data\fingerprint.png	0.35874	0.30577	0.36743	0.46155	0.42740	0.36664	0.35943	0.17856	0.99701	
data\flinstones.png	0.36001	0.28407	0.35672	0.46111	0.42102	0.39775	0.34670	0.17850	0.99008	
data\flowr.BMP	0.37228	0.29145	0.35881	0.47478	0.41723	0.39862	0.33881	0.11352	0.97583	
data\girl512.BMP	0.34387	0.29142	0.35623	0.48931	0.42173	0.38296	0.34959	0.19020	0.99694	
data\hat.BMP	0.35532	0.29793	0.35932	0.48357	0.40554	0.39226	0.34573	0.18432	0.99648	
data\house.png	0.35183	0.29456	0.32964	0.48124	0.40744	0.40025	0.35364	0.17386	0.98534	
data\lake.tiff	0.37498	0.29685	0.36067	0.43952	0.43646	0.36147	0.34186	0.17996	0.98510	
data\lax.tiff	0.33379	0.32722	0.36722	0.45598	0.42540	0.34381	0.35848	0.19514	0.99048	
data\lena256.bmp	0.34593	0.28699	0.31603	0.47984	0.43976	0.35955	0.35057	0.20307	0.98156	
data\lena512.bmp	0.34060	0.31107	0.36020	0.46866	0.41625	0.37574	0.36339	0.18551	0.99556	
data\loco.BMP	0.36496	0.29129	0.34476	0.50460	0.41051	0.38953	0.31433	0.17490	0.98620	
data\man.tiff	0.33963	0.30935	0.34349	0.47414	0.42221	0.38685	0.36742	0.17226	0.99342	
data\martha.BMP	0.37001	0.29665	0.37491	0.43609	0.40801	0.39748	0.36867	0.10561	0.97298	
data\milkdrop.tiff	0.34644	0.31425	0.39225	0.46070	0.42630	0.33655	0.31652	0.18875	0.98157	
data\peppers.bmp	0.37621	0.28031	0.34994	0.45053	0.44416	0.37370	0.32855	0.17532	0.98050	
data\reagan.BMP	0.37009	0.29584	0.36121	0.47277	0.42021	0.39333	0.35681	0.15726	0.99771	
data\woman1.tiff	0.32704	0.27774	0.30907	0.44966	0.40599	0.33218	0.31161	0.20507	0.92391	
data\woman2.tiff	0.35740	0.30055	0.37064	0.47087	0.42421	0.37274	0.35186	0.18107	0.99835	
