data\11.gif	-0.50704	0.28930	0.24117	-0.24388	-0.48752	0.23955	-0.31267	0.29892	0.96312	
data\19.gif	-0.49737	0.29933	0.29653	-0.18404	-0.48928	0.31239	-0.37144	0.24630	0.99128	
data\8.gif	-0.47647	0.29754	0.30091	-0.22207	-0.49125	0.31028	-0.35667	0.24074	0.99101	
data\9.gif	-0.49928	0.31756	0.28614	-0.20410	-0.48500	0.31734	-0.35527	0.23235	0.99142	
data\airplaneGray.bmp	-0.51476	0.29004	0.24265	-0.24751	-0.49504	0.26249	-0.36621	0.26231	0.98553	
data\baboon.BMP	-0.48946	0.30366	0.24522	-0.19035	-0.52636	0.31517	-0.32031	0.23753	0.96607	
data\bank.BMP	-0.50647	0.30864	0.28051	-0.27059	-0.45588	0.24942	-0.32941	0.27216	0.98261	
data\bank1.BMP	-0.47999	0.26322	0.24491	-0.22489	-0.42327	0.18911	-0.38224	0.26382	0.90850	
data\barbara.png	-0.51064	0.29672	0.25930	-0.22752	-0.49122	0.32019	-0.33908	0.26306	0.99534	
data\boat.BMP	-0.50887	0.31065	0.28848	-0.21474	-0.47812	0.31320	-0.34525	0.25660	0.99836	
data\boat.png	-0.48448	0.31473	0.29783	-0.20585	-0.48873	0.33587	-0.34724	0.23061	0.99447	
data\brain.BMP	-0.50622	0.31799	0.28508	-0.23749	-0.47772	0.29432	-0.34064	0.25782	0.99885	
data\brain1.BMP	-0.47745	0.31894	0.27078	-0.22916	-0.47132	0.27686	-0.35504	0.26877	0.98087	
data\bridge.tiff	-0.49886	0.32110	0.24368	-0.18409	-0.49018	0.32979	-0.31610	0.24650	0.96688	
data\cman.BMP	-0.49553	0.30937	0.25969	-0.25098	-0.48769	0.29965	-0.33157	0.25283	0.98784	
data\cman1.BMP	-0.47887	0.27141	0.24173	-0.20434	-0.47852	0.30781	-0.38831	0.29351	0.97945	
data\columbia.tiff	-0.50442	0.29483	0.24693	-0.27820	-0.47070	0.29497	-0.30576	0.26137	0.97677	
data\couple.bmp	-0.51514	0.31446	0.28501	-0.24090	-0.47342	0.27905	-0.34455	0.25222	0.99425	
data\crowd.BMP	-0.50173	0.30486	0.25275	-0.23327	-0.48686	0.27263	-0.36505	0.26576	0.98623	
data\face.BMP	-0.48680	0.31830	0.27865	-0.23471	-0.47956	0.31477	-0.33344	0.25723	0.99378	
data\face1.BMP	-0.48865	0.31134	0.29837	-0.19417	-0.47594	0.32359	-0.36385	0.23863	0.99050	
data\Fig0222(c)(crowd).tif	-0.50478	0.29901	0.27330	-0.21428	-0.48026	0.29689	-0.35157	0.28376	0.99392	
data\fingerprint.png	-0.50110	0.31721	0.28887	-0.24056	-0.47705	0.28373	-0.33840	0.26530	0.99700	
data\flinstones.png	-0.49287	0.29224	0.27524	-0.23714	-0.47657	0.31159	-0.34610	0.26219	0.99028	
data\flowr.BMP	-0.45397	0.33344	0.31730	-0.18202	-0.44922	0.35695	-0.32797	0.21260	0.96805	
data\girl512.BMP	-0.51626	0.30073	0.27531	-0.21448	-0.48343	0.29756	-0.34899	0.27538	0.99697	
data\hat.BMP	-0.49887	0.30502	0.27665	-0.21663	-0.49343	0.30489	-0.34835	0.26739	0.99663	
data\house.png	-0.49404	0.31371	0.26018	-0.20429	-0.48133	0.32842	-0.33105	0.26472	0.98432	
data\lake.tiff	-0.48833	0.29618	0.26865	-0.27082	-0.47333	0.26513	-0.36034	0.25829	0.98555	
data\lax.tiff	-0.52172	0.31989	0.27004	-0.25293	-0.47865	0.24370	-0.34077	0.26854	0.99112	
data\lena256.bmp	-0.51669	0.30180	0.24043	-0.22222	-0.46670	0.28012	-0.34871	0.29286	0.98131	
data\lena512.bmp	-0.51896	0.30993	0.26853	-0.24078	-0.49020	0.27920	-0.33766	0.26346	0.99571	
data\loco.BMP	-0.47363	0.31722	0.28367	-0.16979	-0.47027	0.32640	-0.36541	0.27007	0.98385	
data\man.tiff	-0.51669	0.32282	0.26728	-0.22376	-0.47808	0.30664	-0.32692	0.26000	0.99331	
data\martha.BMP	-0.46667	0.31811	0.31017	-0.24255	-0.47146	0.32925	-0.30802	0.19483	0.97084	
data\milkdrop.tiff	-0.50566	0.29839	0.28366	-0.25024	-0.47526	0.22849	-0.37808	0.25563	0.98347	
data\peppers.bmp	-0.48742	0.28387	0.26227	-0.25866	-0.46561	0.28110	-0.37306	0.25653	0.98094	
data\reagan.BMP	-0.48760	0.31772	0.29425	-0.22163	-0.48091	0.32313	-0.33733	0.25055	0.99733	
data\woman1.tiff	-0.51520	0.24689	0.19046	-0.26526	-0.48915	0.20614	-0.37884	0.25459	0.93609	
data\woman2.tiff	-0.50475	0.30732	0.28667	-0.23587	-0.48341	0.28442	-0.34881	0.26470	0.99837	
